tweet_id,retweet_count,favorite_count
867421006826221569,2335,15375
867072653475098625,113,0
867051520902168576,7394,30793
866720684873056260,4499,19168
866686824827068416,3275,18452
866450705531457537,33126,116968
866334964761202691,13411,50158
866094527597207552,7891,0
865718153858494464,5295,24574
865359393868664832,4714,25377
865006731092295680,7253,26856
864873206498414592,8201,30974
864279568663928832,2848,13986
864197398364647424,8366,28813
863907417377173506,3912,19775
863553081350529029,3958,14664
863471782782697472,2298,0
863432100342583297,4960,22868
863427515083354112,91,2128
863079547188785154,1050,8449
863062471531167744,2298,8137
862831371563274240,4871,18456
862722525377298433,3350,16445
862457590147678208,4679,19691
862096992088072192,21969,71529
861383897657036800,10176,34770
861288531465048066,3925,16545
861005113778896900,3633,16094
860981674716409858,2041,0
860924035999428608,762,0
860563773140209665,2041,7226
860524505164394496,5055,22795
860276583193509888,3335,17729
860184849394610176,5570,16101
860177593139703809,29483,0
859924526012018688,3911,18918
859851578198683649,3347,14903
859607811541651456,1491,17996
859196978902773760,28788,86914
859074603037188101,13030,32739
858860390427611136,7768,0
858843525470990336,3337,15085
858471635011153920,4647,20817
858107933456039936,2788,15272
857989990357356544,2489,15603
857746408056729600,10199,33233
857393404942143489,1574,5716
857263160327368704,4345,19463
857214891891077121,17,219
857062103051644929,163,0
857029823797047296,3840,18344
856543823941562368,2774,15876
856526610513747968,1806,11546
856330835276025856,645,0
856288084350160898,15,503
856282028240666624,6069,27027
855862651834028034,25,332
855860136149123072,944,4815
855857698524602368,2041,11569
855851453814013952,17410,44581
855818117272018944,5246,26014
855459453768019968,7951,29127
855245323840757760,5779,0
855138241867124737,42,0
854732716440526848,5893,22275
854482394044301312,6682,28685
854365224396361728,4554,18489
854120357044912130,7274,31345
854010172552949760,3068,15918
853760880890318849,5590,28042
853639147608842240,9812,34048
853299958564483072,3472,15221
852936405516943360,1952,0
852912242202992640,1777,8890
852672615818899456,2107,14661
852553447878664193,3400,16042
852311364735569921,9740,32625
852226086759018497,6702,19681
852189679701164033,1555,11284
851861385021730816,19,0
851591660324737024,3415,16046
851464819735769094,6924,23929
851224888060895234,5630,20425
850753642995093505,8989,30455
850380195714523136,2569,12936
850333567704068097,324,3417
850145622816686080,3737,16148
850019790995546112,4802,20206
849776966551130114,7500,30152
849668094696017920,4887,0
849412302885593088,3119,15713
849336543269576704,1877,11313
849051919805034497,8366,41969
848690551926992896,4264,24984
848324959059550208,4552,24516
848213670039564288,722,8113
848212111729840128,3006,16202
847978865427394560,3218,0
847971574464610304,425,0
847962785489326080,5026,23337
847842811428974592,1317,5399
847617282490613760,411,6944
847606175596138505,3391,18645
847251039262605312,4274,20389
847157206088847362,5792,19767
847116187444137987,3149,21341
846874817362120707,3893,19997
846514051647705089,11465,44407
846505985330044928,3043,14032
846153765933735936,8976,31468
846139713627017216,9937,30898
846042936437604353,2842,15914
845812042753855489,8636,29132
845677943972139009,4759,25093
845397057150107648,1793,7604
845306882940190720,5359,23269
845098359547420673,7600,0
844979544864018432,2545,13587
844973813909606400,3170,15043
844580511645339650,3114,16435
844223788422217728,2183,13620
843981021012017153,2930,15163
843856843873095681,4596,21416
